,Unnamed: 0,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Time Series_ist,Duration
114,614,1,2018-12-31 23:53:04,2018-12-31 23:57:08,2,0.4,1,N,236,237,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,2019-01-01 05:27:08+05:30,4
115,615,1,2018-12-31 23:53:04,2019-01-01 00:26:26,1,12.4,1,N,132,189,2,37.0,0.5,0.5,0.0,0.0,0.3,38.3,2019-01-01 05:56:26+05:30,33
116,616,2,2018-12-31 23:53:02,2019-01-01 00:00:57,2,1.66,1,N,239,151,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16,2019-01-01 05:30:57+05:30,7
117,617,2,2018-12-31 23:53:01,2018-12-31 23:54:52,1,0.47,1,N,116,116,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2019-01-01 05:24:52+05:30,1
118,618,1,2018-12-31 23:53:01,2019-01-01 00:25:48,4,23.4,1,N,132,220,1,62.0,0.5,0.5,10.36,5.76,0.3,79.42,2019-01-01 05:55:48+05:30,32
119,619,2,2018-12-31 23:53:01,2018-12-31 23:57:28,2,0.52,1,N,90,234,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,2019-01-01 05:27:28+05:30,4
120,620,2,2018-12-31 23:52:58,2018-12-31 23:59:26,5,1.11,1,N,234,79,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36,2019-01-01 05:29:26+05:30,6
121,621,2,2018-12-31 23:52:58,2019-01-01 00:04:33,2,2.4,1,N,237,170,1,10.0,0.5,0.5,2.26,0.0,0.3,13.56,2019-01-01 05:34:33+05:30,11
122,622,2,2018-12-31 23:52:58,2018-12-31 23:55:45,1,0.57,1,N,141,43,1,4.0,0.5,0.5,0.5,0.0,0.3,5.8,2019-01-01 05:25:45+05:30,2
123,623,2,2018-12-31 23:52:57,2019-01-01 00:01:15,2,2.76,1,N,141,74,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,2019-01-01 05:31:15+05:30,8
124,624,1,2018-12-31 23:52:57,2018-12-31 23:57:03,1,0.4,1,N,163,161,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,2019-01-01 05:27:03+05:30,4
125,625,1,2018-12-31 23:52:56,2018-12-31 23:55:21,1,0.6,1,N,141,141,1,4.0,0.5,0.5,2.0,0.0,0.3,7.3,2019-01-01 05:25:21+05:30,2
126,626,2,2018-12-31 23:52:55,2019-01-01 00:23:30,1,21.08,1,N,132,14,1,56.0,0.5,0.5,11.46,0.0,0.3,68.76,2019-01-01 05:53:30+05:30,30
127,627,2,2018-12-31 23:52:55,2018-12-31 23:58:13,1,1.32,1,N,74,75,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2019-01-01 05:28:13+05:30,5
128,628,2,2018-12-31 23:52:54,2018-12-31 23:55:22,2,0.65,1,N,79,107,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2019-01-01 05:25:22+05:30,2
